id;title;sol_num;noticeid;state;zip;posted_from;posted_to;reponse_dead_line;classification_code
1;Estate high-level Palestinian Territory;generating;Fiji Dollar Rustic Steel Tuna;virtual Intelligent Concrete Shoes Bedfordshire;Investment Account Sports override;2020-07-18;2020-07-17;blue Mouse Tuna;Well parsing
2;auxiliary payment;indigo;Texas;Prairie quantifying;visionary;2020-07-18;2020-07-17;Salad;Leone cohesive e-commerce
3;Garden;hacking Proactive;efficient parsing;synergistic;Balanced Forward;2020-07-18;2020-07-17;Virtual;Regional Fantastic Steel Computer
4;Incredible Steel Chicken Maine Cambridgeshire;Mandatory Customer Comoro Franc;AGP Parkways;payment RSS;Human Books connecting;2020-07-18;2020-07-18;Stand-alone HDD Markets;Brunei Dollar customized knowledge base
5;Yemeni Rial teal;silver infrastructures Division;Overpass Product Solutions;visionary Frozen Rapid;GB;2020-07-18;2020-07-18;Concrete bluetooth haptic;Awesome Cook Islands
6;local;Kids transmit;Garden;monetize hacking cutting-edge;Face to face;2020-07-18;2020-07-18;national dynamic HDD;Hat
7;Intelligent;Ergonomic;Designer eco-centric;Infrastructure Centralized;client-server;2020-07-18;2020-07-18;Licensed;extensible
8;Dam;niches;invoice Home Bond Markets Units European Composite Unit (EURCO);national Fresh;Maryland GB Sri Lanka Rupee;2020-07-18;2020-07-18;Checking Account program pink;Sleek
9;Angola;Belarussian Ruble generate Global;client-server compressing;neural integrated Zimbabwe Dollar;model;2020-07-18;2020-07-18;matrix streamline;backing up Soft
10;array Namibia grey;Granite;Auto Loan Account eco-centric bluetooth;Generic;sensor Licensed Plastic Car;2020-07-18;2020-07-18;Island Chile Web;Buckinghamshire
