id;description;code;title
1;Concrete redundant;feed Rustic Concrete Keyboard;Movies Liaison non-volatile
2;Refined Fresh Hat District;Vermont Intelligent;bottom-line hardware
3;programming Gateway navigate;optical Auto Loan Account;Unbranded Awesome Frozen Computer
4;Response Architect;Plastic RAM action-items;program
5;Mountains plum generating;Missouri haptic;implementation
6;synthesizing RAM invoice;Kentucky Savings Account;Czech Koruna integrated Forges
7;Awesome;Tasty;Wallis and Futuna copy Automotive
8;payment New Jersey system engine;synthesize Rand;bypass analyzing
9;sky blue deposit;Profit-focused Berkshire brand;National Tasty Plastic Chips
10;Future Minnesota;Saudi Riyal;open-source
